Data          Hora     Bar   Temp_atual       Temp_med         Temp_min        Temp_max        Press_atual     Press_med      Press_min       Press_max
2024-10-23   03:00:00   1     27.06		27.11		26.84		27.58		939.31		939.25		938.30		941.66
                        2     26.67		26.73		26.67		26.81		937.02		937.10		936.92		937.37

2024-10-23   04:00:00   1     26.94		27.01		26.76		27.59		939.38		939.47		938.30		942.12
                        2     26.55		26.60		26.53		26.81		937.50		937.23		936.83		937.63

2024-10-23   05:00:00   1     26.83		26.93		26.71		27.63		940.33		940.08		938.30		942.59
                        2     26.44		26.49		26.44		26.81		938.11		937.83		936.83		938.14

2024-10-23   06:00:00   1     26.69		26.82		26.55		27.63		940.95		940.57		938.30		942.89
                        2     26.36		26.40		26.34		26.81		938.84		938.33		936.83		938.84

2024-10-23   07:00:00   1     26.57		26.69		26.43		27.63		942.00		941.33		938.30		944.71
                        2     26.22		26.30		26.22		26.81		939.49		939.09		936.83		939.61

2024-10-23   08:00:00   1     26.48		26.53		26.14		27.63		942.52		942.37		938.30		945.80
                        2     26.10		26.16		26.10		26.81		939.86		940.12		936.83		940.55

2024-10-23   09:00:00   1     26.38		26.40		26.14		27.63		941.95		942.40		938.30		945.80
                        2     25.98		26.05		25.98		26.81		939.45		940.17		936.83		940.72

2024-10-23   10:00:00   1     26.12		26.28		25.92		27.63		939.55		940.74		938.30		945.80
                        2     25.84		25.92		25.84		26.81		937.72		938.51		936.83		940.72

2024-10-23   11:00:00   1     26.19		26.07		25.88		27.63		939.97		939.82		938.30		945.80
                        2     25.74		25.79		25.74		26.81		937.44		937.59		936.83		940.72

2024-10-23   12:00:00   1     25.87		25.98		25.63		27.63		939.58		939.46		937.87		945.80
                        2     25.67		25.70		25.65		26.81		937.42		937.23		936.83		940.72

2024-10-23   13:00:00   1     25.83		25.93		25.63		27.63		938.64		939.15		937.74		945.80
                        2     25.55		25.62		25.55		26.81		936.51		936.91		936.45		940.72

2024-10-23   14:00:00   1     25.76		25.76		25.56		27.63		938.81		938.67		937.49		945.80
                        2     25.48		25.52		25.46		26.81		936.59		936.42		936.26		940.72

2024-10-23   15:00:00   1     25.46		25.67		25.47		27.63		938.84		938.59		937.40		945.80
                        2     25.40		25.43		25.38		26.81		936.14		936.34		936.11		940.72

2024-10-23   16:00:00   1     25.75		25.61		25.41		27.63		939.55		938.64		937.38		945.80
                        2     25.38		25.37		25.36		26.81		937.09		936.52		936.08		940.72

2024-10-23   17:00:00   1     25.90		25.78		25.41		27.63		939.83		939.58		937.38		945.80
                        2     25.48		25.43		25.36		26.81		937.77		937.46		936.08		940.72

2024-10-23   18:00:00   1     25.80		25.47		25.03		27.63		940.61		940.05		937.38		945.80
                        2     25.33		25.24		24.95		26.81		938.18		937.77		936.08		940.72

2024-10-23   19:00:00   1     25.10		25.45		24.94		26.16		940.99		933.45		-690.08		943.42
                        2     25.07		25.21		25.02		25.34		939.00		931.51		-734.90		939.15

2024-10-23   20:00:00   1     25.20		25.31		24.93		26.16		939.34		937.24		-690.08		943.78
                        2     25.09		25.11		24.91		25.34		937.56		935.13		-734.90		939.17

2024-10-23   21:00:00   1     26.19		26.22		26.04		26.65		939.19		939.10		938.41		940.61
                        2     25.76		25.73		25.67		25.77		936.78		936.84		936.72		936.99

2024-10-23   22:00:00   1     26.93		26.61		26.04		27.49		937.80		938.63		937.36		940.63
                        2     26.46		26.12		25.67		26.48		935.87		936.34		935.83		936.99

2024-10-23   23:00:00   1     27.78		27.55		26.04		28.45		936.33		937.53		936.05		940.63
                        2     27.29		27.03		25.67		27.49		934.46		935.28		934.39		936.99

2024-10-24   00:00:00   1     28.11		28.21		26.04		28.96		934.48		935.99		934.11		940.63
                        2     27.66		27.66		25.67		27.94		932.56		933.68		932.56		936.99

2024-10-24   01:00:00   1     29.13		28.78		28.36		29.75		934.46		934.17		933.23		936.52
                        2     28.25		28.11		27.92		28.49		931.81		931.90		931.57		932.34

2024-10-24   02:00:00   1     28.93		29.16		28.36		29.83		933.80		934.01		933.14		936.52
                        2     28.32		28.45		27.92		28.83		931.73		931.76		931.51		932.34

