Data          Hora     Bar    Temp_atual   Temp_med   Temp_min   Temp_max   Press_atual   Press_med    Press_min   Press_max
2024-10-18   17:33:19   2     26.86°C      26.62°C    26.10°C    26.87°C     936.47mbar   936.19mbar  935.87mbar  936.60mbar
2024-10-18   18:39:34   2     26.89°C      26.90°C    26.10°C    26.93°C     937.72mbar   937.17mbar  935.87mbar  937.85mbar
2024-10-18   19:45:48   2     26.82°C      26.87°C    26.10°C    26.93°C     939.37mbar   938.37mbar  935.87mbar  939.50mbar
2024-10-18   20:52:03   2     26.67°C      26.73°C    26.10°C    26.93°C     940.18mbar   940.00mbar  935.87mbar  940.28mbar
2024-10-18   21:58:17   2     26.58°C      26.63°C    26.10°C    26.93°C     940.23mbar   940.24mbar  935.87mbar  940.58mbar
2024-10-18   23:04:32   2     26.48°C      26.53°C    26.10°C    26.93°C     940.44mbar   940.41mbar  935.87mbar  940.66mbar
2024-10-19   00:10:46   2     26.38°C      26.43°C    26.10°C    26.93°C     939.76mbar   940.07mbar  935.87mbar  940.66mbar
2024-10-19   01:21:37   2     26.27°C      26.33°C    26.27°C    26.39°C     938.89mbar   939.25mbar  938.82mbar  939.86mbar
2024-10-19   02:27:51   2     26.19°C      26.23°C    26.17°C    26.39°C     938.24mbar   938.54mbar  938.17mbar  939.86mbar
2024-10-19   03:34:06   2     26.10°C      26.15°C    26.10°C    26.39°C     937.99mbar   938.00mbar  937.72mbar  939.86mbar
2024-10-19   04:40:20   2     26.00°C      26.05°C    25.98°C    26.39°C     938.10mbar   938.11mbar  937.72mbar  939.86mbar
2024-10-19   05:46:34   2     25.91°C      25.95°C    25.89°C    26.39°C     938.24mbar   938.20mbar  937.72mbar  939.86mbar
2024-10-19   06:52:48   2     25.86°C      25.88°C    25.86°C    26.39°C     938.84mbar   938.49mbar  937.72mbar  939.86mbar
2024-10-19   07:59:02   2     25.89°C      25.88°C    25.86°C    26.39°C     939.30mbar   939.04mbar  937.72mbar  939.86mbar
2024-10-19   09:05:17   2     25.96°C      25.95°C    25.86°C    26.39°C     939.81mbar   939.66mbar  937.72mbar  940.04mbar
2024-10-19   10:11:31   2     26.07°C      26.02°C    25.86°C    26.39°C     939.90mbar   939.72mbar  937.72mbar  940.04mbar
2024-10-19   11:17:45   2     26.05°C      26.05°C    25.86°C    26.39°C     939.67mbar   939.69mbar  937.72mbar  940.07mbar
2024-10-19   12:24:00   2     26.07°C      26.04°C    25.86°C    26.39°C     938.91mbar   939.41mbar  937.72mbar  940.07mbar
2024-10-19   13:30:14   2     26.03°C      26.07°C    25.86°C    26.39°C     938.16mbar   938.59mbar  937.72mbar  940.07mbar
2024-10-19   14:36:28   2     26.05°C      26.02°C    25.86°C    26.39°C     937.50mbar   937.91mbar  937.37mbar  940.07mbar
2024-10-19   15:42:43   2     26.05°C      26.07°C    25.86°C    26.39°C     937.30mbar   937.47mbar  937.11mbar  940.07mbar
2024-10-19   16:48:57   2     25.91°C      26.00°C    25.86°C    26.39°C     937.16mbar   937.10mbar  936.88mbar  940.07mbar
2024-10-19   17:55:11   2     25.72°C      25.83°C    25.72°C    26.39°C     938.20mbar   937.81mbar  936.88mbar  940.07mbar
2024-10-19   19:01:26   2     25.53°C      25.64°C    25.53°C    26.39°C     938.85mbar   938.65mbar  936.88mbar  940.07mbar
2024-10-19   20:07:40   2     25.41°C      25.48°C    25.41°C    26.39°C     939.32mbar   939.08mbar  936.88mbar  940.07mbar
2024-10-19   21:13:54   2     25.26°C      25.34°C    25.24°C    26.39°C     939.64mbar   939.34mbar  936.88mbar  940.07mbar
2024-10-19   22:20:09   2     25.05°C      25.15°C    25.05°C    26.39°C     939.37mbar   939.50mbar  936.88mbar  940.07mbar
2024-10-19   23:26:23   2     24.90°C      24.97°C    24.88°C    26.39°C     938.80mbar   939.12mbar  936.88mbar  940.07mbar
2024-10-20   01:21:37   2     24.60°C      24.69°C    24.59°C    24.78°C     937.88mbar   938.04mbar  937.78mbar  938.29mbar
2024-10-20   02:27:52   2     24.50°C      24.56°C    24.50°C    24.78°C     937.50mbar   937.74mbar  937.43mbar  938.29mbar
2024-10-20   03:34:06   2     24.40°C      24.45°C    24.38°C    24.78°C     937.31mbar   937.35mbar  937.08mbar  938.29mbar
2024-10-20   04:40:20   2     24.28°C      24.34°C    24.28°C    24.78°C     937.10mbar   937.12mbar  936.93mbar  938.29mbar
2024-10-20   05:46:35   2     24.17°C      24.23°C    24.16°C    24.78°C     937.60mbar   937.45mbar  936.93mbar  938.29mbar
2024-10-20   06:52:49   2     24.11°C      24.13°C    24.09°C    24.78°C     938.76mbar   938.15mbar  936.93mbar  938.76mbar
2024-10-20   07:59:03   2     24.11°C      24.11°C    24.09°C    24.78°C     939.74mbar   939.26mbar  936.93mbar  939.87mbar
2024-10-20   09:05:17   2     24.17°C      24.14°C    24.09°C    24.78°C     940.26mbar   940.07mbar  936.93mbar  940.36mbar
2024-10-20   10:11:32   2     24.26°C      24.24°C    24.09°C    24.78°C     940.41mbar   940.34mbar  936.93mbar  940.54mbar
2024-10-20   11:17:46   2     24.28°C      24.25°C    24.09°C    24.78°C     940.15mbar   940.34mbar  936.93mbar  940.61mbar
2024-10-20   12:24:00   2     24.33°C      24.35°C    24.09°C    24.78°C     939.75mbar   940.01mbar  936.93mbar  940.61mbar
2024-10-20   13:30:15   2     24.31°C      24.31°C    24.09°C    24.78°C     938.83mbar   939.30mbar  936.93mbar  940.61mbar
2024-10-20   14:36:29   2     24.42°C      24.37°C    24.09°C    24.78°C     938.53mbar   938.66mbar  936.93mbar  940.61mbar
2024-10-20   15:42:43   2     24.43°C      24.42°C    24.09°C    24.78°C     938.46mbar   938.49mbar  936.93mbar  940.61mbar
2024-10-20   16:48:58   2     24.42°C      24.42°C    24.09°C    24.78°C     938.72mbar   938.49mbar  936.93mbar  940.61mbar
2024-10-20   17:55:12   2     24.33°C      24.37°C    24.09°C    24.78°C     939.35mbar   939.00mbar  936.93mbar  940.61mbar
2024-10-20   19:01:27   2     24.23°C      24.26°C    24.09°C    24.78°C     940.05mbar   939.77mbar  936.93mbar  940.61mbar
2024-10-20   20:07:41   2     24.14°C      24.19°C    24.09°C    24.78°C     940.59mbar   940.38mbar  936.93mbar  940.85mbar
2024-10-20   21:13:55   2     24.09°C      24.12°C    24.05°C    24.78°C     941.28mbar   941.11mbar  936.93mbar  941.41mbar
2024-10-20   22:20:09   2     24.00°C      24.04°C    23.98°C    24.78°C     941.72mbar   941.55mbar  936.93mbar  941.88mbar
2024-10-20   23:26:24   2     23.93°C      23.97°C    23.93°C    24.78°C     941.10mbar   941.30mbar  936.93mbar  941.88mbar
2024-10-21   01:21:36   2     23.80°C      23.85°C    23.80°C    23.88°C     941.25mbar   941.15mbar  940.72mbar  941.37mbar
2024-10-21   02:27:50   2     23.74°C      23.78°C    23.74°C    23.88°C     940.86mbar   941.01mbar  940.72mbar  941.38mbar
