Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-11   11:18:30   26.08°C     26.08°C     26.08°C   26.08°C    74.19RH    74.19RH    74.19RH   74.19RH
2024-10-11   11:18:35   26.09°C     26.08°C     26.08°C   26.09°C    74.16RH    74.18RH    74.16RH   74.19RH
2024-10-11   11:18:40   26.09°C     26.09°C     26.08°C   26.09°C    74.17RH    74.18RH    74.16RH   74.19RH
2024-10-11   11:18:45   26.11°C     26.09°C     26.08°C   26.11°C    74.17RH    74.17RH    74.16RH   74.19RH
2024-10-11   11:18:50   26.08°C     26.09°C     26.08°C   26.11°C    74.19RH    74.18RH    74.16RH   74.19RH
2024-10-11   11:18:56   26.09°C     26.09°C     26.08°C   26.11°C    74.19RH    74.18RH    74.16RH   74.19RH
2024-10-11   11:19:01   26.06°C     26.08°C     26.06°C   26.11°C    74.16RH    74.18RH    74.16RH   74.19RH
2024-10-11   11:19:06   26.11°C     26.09°C     26.06°C   26.11°C    74.18RH    74.18RH    74.16RH   74.19RH
2024-10-11   11:19:11   26.12°C     26.09°C     26.06°C   26.12°C    74.18RH    74.18RH    74.16RH   74.19RH
2024-10-11   11:19:16   26.11°C     26.09°C     26.06°C   26.12°C    74.19RH    74.18RH    74.16RH   74.19RH
2024-10-11   11:19:21   26.12°C     26.09°C     26.06°C   26.12°C    74.16RH    74.18RH    74.16RH   74.19RH
2024-10-11   11:19:26   26.11°C     26.10°C     26.06°C   26.12°C    74.15RH    74.17RH    74.15RH   74.19RH
2024-10-11   11:19:31   26.11°C     26.10°C     26.06°C   26.12°C    74.17RH    74.17RH    74.15RH   74.19RH
2024-10-11   11:19:36   26.09°C     26.10°C     26.06°C   26.12°C    74.13RH    74.17RH    74.13RH   74.19RH
2024-10-11   11:19:41   26.11°C     26.10°C     26.06°C   26.12°C    74.14RH    74.17RH    74.13RH   74.19RH
2024-10-11   11:19:46   26.08°C     26.10°C     26.06°C   26.12°C    74.13RH    74.17RH    74.13RH   74.19RH
2024-10-11   11:19:51   26.12°C     26.10°C     26.06°C   26.12°C    74.14RH    74.17RH    74.13RH   74.19RH
2024-10-11   11:19:56   26.11°C     26.10°C     26.06°C   26.12°C    74.14RH    74.16RH    74.13RH   74.19RH
2024-10-11   11:20:01   26.09°C     26.10°C     26.06°C   26.12°C    74.13RH    74.16RH    74.13RH   74.19RH
2024-10-11   11:20:06   26.09°C     26.10°C     26.06°C   26.12°C    74.13RH    74.16RH    74.13RH   74.19RH
2024-10-11   11:20:11   26.11°C     26.10°C     26.06°C   26.12°C    74.13RH    74.16RH    74.13RH   74.19RH
2024-10-11   11:20:16   26.09°C     26.10°C     26.06°C   26.12°C    74.14RH    74.16RH    74.13RH   74.19RH
2024-10-11   11:20:21   26.08°C     26.10°C     26.06°C   26.12°C    74.13RH    74.16RH    74.13RH   74.19RH
2024-10-11   11:20:26   26.11°C     26.10°C     26.06°C   26.12°C    74.13RH    74.16RH    74.13RH   74.19RH
2024-10-11   11:20:31   26.12°C     26.10°C     26.06°C   26.12°C    74.10RH    74.15RH    74.10RH   74.19RH
2024-10-11   11:20:36   26.12°C     26.10°C     26.06°C   26.12°C    74.11RH    74.15RH    74.10RH   74.19RH
2024-10-11   11:20:41   26.09°C     26.10°C     26.06°C   26.12°C    74.09RH    74.15RH    74.09RH   74.19RH
2024-10-11   11:20:46   26.11°C     26.10°C     26.06°C   26.12°C    74.11RH    74.15RH    74.09RH   74.19RH
2024-10-11   11:20:52   26.12°C     26.10°C     26.06°C   26.12°C    74.11RH    74.15RH    74.09RH   74.19RH
2024-10-11   11:20:57   26.11°C     26.10°C     26.06°C   26.12°C    74.12RH    74.15RH    74.09RH   74.19RH
2024-10-11   11:21:02   26.09°C     26.10°C     26.06°C   26.12°C    74.15RH    74.15RH    74.09RH   74.19RH
2024-10-11   11:21:07   26.12°C     26.10°C     26.06°C   26.12°C    74.18RH    74.15RH    74.09RH   74.19RH
2024-10-11   11:21:12   26.11°C     26.10°C     26.06°C   26.12°C    74.18RH    74.15RH    74.09RH   74.19RH
2024-10-11   11:21:17   26.12°C     26.10°C     26.06°C   26.12°C    74.19RH    74.15RH    74.09RH   74.19RH
2024-10-11   11:21:22   26.11°C     26.10°C     26.06°C   26.12°C    74.19RH    74.15RH    74.09RH   74.19RH
2024-10-11   11:21:27   26.11°C     26.10°C     26.06°C   26.12°C    74.22RH    74.15RH    74.09RH   74.22RH
2024-10-11   11:21:32   26.11°C     26.10°C     26.06°C   26.12°C    74.23RH    74.15RH    74.09RH   74.23RH
2024-10-11   11:21:37   26.12°C     26.10°C     26.06°C   26.12°C    74.24RH    74.16RH    74.09RH   74.24RH
2024-10-11   11:21:42   26.11°C     26.10°C     26.06°C   26.12°C    74.24RH    74.16RH    74.09RH   74.24RH
2024-10-11   11:21:47   26.12°C     26.10°C     26.06°C   26.12°C    74.25RH    74.16RH    74.09RH   74.25RH
2024-10-11   11:21:52   26.13°C     26.10°C     26.06°C   26.13°C    74.26RH    74.16RH    74.09RH   74.26RH
2024-10-11   11:21:57   26.12°C     26.10°C     26.06°C   26.13°C    74.27RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:22:02   26.11°C     26.10°C     26.06°C   26.13°C    74.26RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:22:07   26.12°C     26.10°C     26.06°C   26.13°C    74.26RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:22:12   26.13°C     26.10°C     26.06°C   26.13°C    74.23RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:22:17   26.13°C     26.10°C     26.06°C   26.13°C    74.22RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:22:22   26.15°C     26.11°C     26.06°C   26.15°C    74.21RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:22:27   26.13°C     26.11°C     26.06°C   26.15°C    74.21RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:22:32   26.15°C     26.11°C     26.06°C   26.15°C    74.19RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:22:37   26.13°C     26.11°C     26.06°C   26.15°C    74.21RH    74.18RH    74.09RH   74.27RH
2024-10-11   11:22:42   26.15°C     26.11°C     26.06°C   26.15°C    74.21RH    74.18RH    74.09RH   74.27RH
2024-10-11   11:22:48   26.15°C     26.11°C     26.06°C   26.15°C    74.21RH    74.18RH    74.09RH   74.27RH
2024-10-11   11:22:53   26.15°C     26.11°C     26.06°C   26.15°C    74.19RH    74.18RH    74.09RH   74.27RH
2024-10-11   11:22:58   26.16°C     26.11°C     26.06°C   26.16°C    74.21RH    74.18RH    74.09RH   74.27RH
2024-10-11   11:23:03   26.16°C     26.11°C     26.06°C   26.16°C    74.16RH    74.18RH    74.09RH   74.27RH
2024-10-11   11:23:08   26.15°C     26.11°C     26.06°C   26.16°C    74.15RH    74.18RH    74.09RH   74.27RH
2024-10-11   11:23:13   26.15°C     26.11°C     26.06°C   26.16°C    74.13RH    74.18RH    74.09RH   74.27RH
2024-10-11   11:23:18   26.15°C     26.11°C     26.06°C   26.16°C    74.11RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:23:23   26.15°C     26.11°C     26.06°C   26.16°C    74.16RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:23:28   26.15°C     26.11°C     26.06°C   26.16°C    74.18RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:23:33   26.16°C     26.11°C     26.06°C   26.16°C    74.12RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:23:38   26.18°C     26.12°C     26.06°C   26.18°C    74.14RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:23:43   26.18°C     26.12°C     26.06°C   26.18°C    74.13RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:23:48   26.16°C     26.12°C     26.06°C   26.18°C    74.12RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:23:53   26.15°C     26.12°C     26.06°C   26.18°C    74.13RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:23:58   26.16°C     26.12°C     26.06°C   26.18°C    74.14RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:03   26.18°C     26.12°C     26.06°C   26.18°C    74.14RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:08   26.18°C     26.12°C     26.06°C   26.18°C    74.13RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:13   26.16°C     26.12°C     26.06°C   26.18°C    74.10RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:18   26.16°C     26.12°C     26.06°C   26.18°C    74.10RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:23   26.18°C     26.12°C     26.06°C   26.18°C    74.11RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:28   26.16°C     26.12°C     26.06°C   26.18°C    74.11RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:33   26.18°C     26.12°C     26.06°C   26.18°C    74.09RH    74.16RH    74.09RH   74.27RH
2024-10-11   11:24:38   26.18°C     26.12°C     26.06°C   26.18°C    74.05RH    74.16RH    74.05RH   74.27RH
2024-10-11   11:24:43   26.18°C     26.13°C     26.06°C   26.18°C    74.07RH    74.16RH    74.05RH   74.27RH
