Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-11   13:11:34   26.76°C     26.76°C     26.76°C   26.76°C    68.06RH    68.06RH    68.06RH   68.06RH
2024-10-11   13:11:39   26.78°C     26.77°C     26.76°C   26.78°C    68.07RH    68.06RH    68.06RH   68.07RH
2024-10-11   13:11:44   26.78°C     26.77°C     26.76°C   26.78°C    68.09RH    68.07RH    68.06RH   68.09RH
2024-10-11   13:15:33   26.80°C     26.80°C     26.80°C   26.80°C    68.15RH    68.15RH    68.15RH   68.15RH
2024-10-11   13:40:17   26.81°C     26.81°C     26.81°C   26.81°C    68.10RH    68.10RH    68.10RH   68.10RH
2024-10-11   13:40:22   26.80°C     26.81°C     26.80°C   26.81°C    68.08RH    68.09RH    68.08RH   68.10RH
2024-10-11   13:40:27   26.81°C     26.81°C     26.80°C   26.81°C    68.10RH    68.09RH    68.08RH   68.10RH
2024-10-11   13:40:32   26.80°C     26.81°C     26.80°C   26.81°C    68.06RH    68.09RH    68.06RH   68.10RH
2024-10-11   13:40:37   26.81°C     26.81°C     26.80°C   26.81°C    68.05RH    68.08RH    68.05RH   68.10RH
2024-10-11   13:40:42   26.81°C     26.81°C     26.80°C   26.81°C    68.08RH    68.08RH    68.05RH   68.10RH
2024-10-11   13:40:47   26.83°C     26.81°C     26.80°C   26.83°C    68.06RH    68.08RH    68.05RH   68.10RH
2024-10-11   13:40:52   26.81°C     26.81°C     26.80°C   26.83°C    68.04RH    68.07RH    68.04RH   68.10RH
2024-10-11   13:40:57   26.83°C     26.81°C     26.80°C   26.83°C    68.03RH    68.07RH    68.03RH   68.10RH
2024-10-11   13:41:02   26.85°C     26.82°C     26.80°C   26.85°C    68.03RH    68.06RH    68.03RH   68.10RH
2024-10-11   13:41:07   26.81°C     26.82°C     26.80°C   26.85°C    68.00RH    68.06RH    68.00RH   68.10RH
2024-10-11   13:41:12   26.81°C     26.82°C     26.80°C   26.85°C    68.04RH    68.06RH    68.00RH   68.10RH
2024-10-11   13:41:17   26.80°C     26.81°C     26.80°C   26.85°C    68.03RH    68.05RH    68.00RH   68.10RH
2024-10-11   13:41:22   26.81°C     26.81°C     26.80°C   26.85°C    68.01RH    68.05RH    68.00RH   68.10RH
2024-10-11   13:41:27   26.81°C     26.81°C     26.80°C   26.85°C    68.02RH    68.05RH    68.00RH   68.10RH
2024-10-11   13:41:32   26.81°C     26.81°C     26.80°C   26.85°C    68.01RH    68.05RH    68.00RH   68.10RH
2024-10-11   13:41:37   26.83°C     26.82°C     26.80°C   26.85°C    68.03RH    68.05RH    68.00RH   68.10RH
2024-10-11   13:41:42   26.84°C     26.82°C     26.80°C   26.85°C    68.02RH    68.04RH    68.00RH   68.10RH
2024-10-11   13:41:48   26.85°C     26.82°C     26.80°C   26.85°C    68.01RH    68.04RH    68.00RH   68.10RH
2024-10-11   13:41:53   26.83°C     26.82°C     26.80°C   26.85°C    68.01RH    68.04RH    68.00RH   68.10RH
2024-10-11   13:41:58   26.81°C     26.82°C     26.80°C   26.85°C    68.06RH    68.04RH    68.00RH   68.10RH
2024-10-11   13:42:03   26.83°C     26.82°C     26.80°C   26.85°C    67.99RH    68.04RH    67.99RH   68.10RH
2024-10-11   13:42:08   26.85°C     26.82°C     26.80°C   26.85°C    68.06RH    68.04RH    67.99RH   68.10RH
2024-10-11   13:42:13   26.84°C     26.82°C     26.80°C   26.85°C    68.04RH    68.04RH    67.99RH   68.10RH
2024-10-11   13:42:18   26.84°C     26.82°C     26.80°C   26.85°C    68.02RH    68.04RH    67.99RH   68.10RH
2024-10-11   13:42:23   26.84°C     26.82°C     26.80°C   26.85°C    67.98RH    68.04RH    67.98RH   68.10RH
2024-10-11   13:42:28   26.84°C     26.82°C     26.80°C   26.85°C    67.99RH    68.04RH    67.98RH   68.10RH
2024-10-11   13:42:33   26.81°C     26.82°C     26.80°C   26.85°C    68.01RH    68.03RH    67.98RH   68.10RH
2024-10-11   13:42:38   26.83°C     26.82°C     26.80°C   26.85°C    68.01RH    68.03RH    67.98RH   68.10RH
2024-10-11   13:42:43   26.81°C     26.82°C     26.80°C   26.85°C    68.00RH    68.03RH    67.98RH   68.10RH
2024-10-11   13:42:48   26.83°C     26.82°C     26.80°C   26.85°C    68.02RH    68.03RH    67.98RH   68.10RH
2024-10-11   13:42:53   26.81°C     26.82°C     26.80°C   26.85°C    68.00RH    68.03RH    67.98RH   68.10RH
2024-10-11   13:42:58   26.81°C     26.82°C     26.80°C   26.85°C    68.00RH    68.03RH    67.98RH   68.10RH
2024-10-11   13:43:03   26.83°C     26.82°C     26.80°C   26.85°C    68.02RH    68.03RH    67.98RH   68.10RH
2024-10-11   13:43:08   26.81°C     26.82°C     26.80°C   26.85°C    67.99RH    68.03RH    67.98RH   68.10RH
2024-10-11   13:43:13   26.80°C     26.82°C     26.80°C   26.85°C    67.99RH    68.03RH    67.98RH   68.10RH
2024-10-11   13:43:18   26.81°C     26.82°C     26.80°C   26.85°C    67.97RH    68.03RH    67.97RH   68.10RH
2024-10-11   13:43:23   26.81°C     26.82°C     26.80°C   26.85°C    68.03RH    68.03RH    67.97RH   68.10RH
2024-10-11   13:43:28   26.81°C     26.82°C     26.80°C   26.85°C    68.03RH    68.03RH    67.97RH   68.10RH
2024-10-11   13:43:33   26.83°C     26.82°C     26.80°C   26.85°C    68.02RH    68.03RH    67.97RH   68.10RH
2024-10-11   13:43:38   26.83°C     26.82°C     26.80°C   26.85°C    68.03RH    68.03RH    67.97RH   68.10RH
2024-10-11   13:43:43   26.83°C     26.82°C     26.80°C   26.85°C    68.03RH    68.03RH    67.97RH   68.10RH
2024-10-11   13:43:49   26.81°C     26.82°C     26.80°C   26.85°C    68.01RH    68.03RH    67.97RH   68.10RH
2024-10-11   13:43:54   26.84°C     26.82°C     26.80°C   26.85°C    68.00RH    68.03RH    67.97RH   68.10RH
2024-10-11   13:43:59   26.83°C     26.82°C     26.80°C   26.85°C    68.04RH    68.03RH    67.97RH   68.10RH
2024-10-11   13:44:04   26.81°C     26.82°C     26.80°C   26.85°C    68.00RH    68.02RH    67.97RH   68.10RH
2024-10-11   13:44:09   26.84°C     26.82°C     26.80°C   26.85°C    68.01RH    68.02RH    67.97RH   68.10RH
2024-10-11   13:44:14   26.80°C     26.82°C     26.80°C   26.85°C    68.00RH    68.02RH    67.97RH   68.10RH
2024-10-11   13:44:19   26.83°C     26.82°C     26.80°C   26.85°C    67.96RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:24   26.81°C     26.82°C     26.80°C   26.85°C    68.01RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:29   26.83°C     26.82°C     26.80°C   26.85°C    68.03RH    68.02RH    67.96RH   68.10RH
