Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-15   10:44:50   26.85°C     26.85°C     26.85°C   26.85°C    58.30RH    58.30RH    58.30RH   58.30RH
2024-10-15   10:44:56   26.85°C     26.85°C     26.85°C   26.85°C    58.28RH    58.29RH    58.28RH   58.30RH
2024-10-15   10:45:02   26.84°C     26.85°C     26.84°C   26.85°C    58.30RH    58.29RH    58.28RH   58.30RH
2024-10-15   10:45:08   26.85°C     26.85°C     26.84°C   26.85°C    58.30RH    58.30RH    58.28RH   58.30RH
2024-10-15   10:45:14   26.85°C     26.85°C     26.84°C   26.85°C    58.30RH    58.30RH    58.28RH   58.30RH
2024-10-15   10:45:20   26.87°C     26.85°C     26.84°C   26.87°C    58.30RH    58.30RH    58.28RH   58.30RH
2024-10-15   10:45:26   26.87°C     26.86°C     26.84°C   26.87°C    58.23RH    58.29RH    58.23RH   58.30RH
2024-10-15   10:45:33   26.88°C     26.86°C     26.84°C   26.88°C    58.21RH    58.28RH    58.21RH   58.30RH
2024-10-15   10:45:39   26.88°C     26.86°C     26.84°C   26.88°C    58.27RH    58.28RH    58.21RH   58.30RH
2024-10-15   10:45:45   26.85°C     26.86°C     26.84°C   26.88°C    58.22RH    58.27RH    58.21RH   58.30RH
2024-10-15   10:45:51   26.88°C     26.86°C     26.84°C   26.88°C    58.21RH    58.27RH    58.21RH   58.30RH
2024-10-15   10:45:57   26.87°C     26.86°C     26.84°C   26.88°C    58.22RH    58.26RH    58.21RH   58.30RH
2024-10-15   10:46:03   26.88°C     26.86°C     26.84°C   26.88°C    58.24RH    58.26RH    58.21RH   58.30RH
2024-10-15   10:46:09   26.90°C     26.87°C     26.84°C   26.90°C    58.21RH    58.26RH    58.21RH   58.30RH
2024-10-15   10:46:15   26.87°C     26.87°C     26.84°C   26.90°C    58.22RH    58.25RH    58.21RH   58.30RH
2024-10-15   10:46:21   26.87°C     26.87°C     26.84°C   26.90°C    58.23RH    58.25RH    58.21RH   58.30RH
2024-10-15   10:46:27   26.88°C     26.87°C     26.84°C   26.90°C    58.14RH    58.25RH    58.14RH   58.30RH
2024-10-15   10:46:33   26.87°C     26.87°C     26.84°C   26.90°C    58.13RH    58.24RH    58.13RH   58.30RH
2024-10-15   10:46:39   26.87°C     26.87°C     26.84°C   26.90°C    58.12RH    58.23RH    58.12RH   58.30RH
2024-10-15   10:46:45   26.87°C     26.87°C     26.84°C   26.90°C    58.16RH    58.23RH    58.12RH   58.30RH
2024-10-15   10:46:51   26.87°C     26.87°C     26.84°C   26.90°C    58.08RH    58.22RH    58.08RH   58.30RH
2024-10-15   10:46:57   26.88°C     26.87°C     26.84°C   26.90°C    58.04RH    58.21RH    58.04RH   58.30RH
2024-10-15   10:47:03   26.88°C     26.87°C     26.84°C   26.90°C    58.08RH    58.21RH    58.04RH   58.30RH
2024-10-15   10:47:09   26.87°C     26.87°C     26.84°C   26.90°C    58.10RH    58.20RH    58.04RH   58.30RH
2024-10-15   10:47:15   26.87°C     26.87°C     26.84°C   26.90°C    58.10RH    58.20RH    58.04RH   58.30RH
2024-10-15   10:47:21   26.88°C     26.87°C     26.84°C   26.90°C    58.10RH    58.20RH    58.04RH   58.30RH
2024-10-15   10:47:27   26.90°C     26.87°C     26.84°C   26.90°C    58.10RH    58.19RH    58.04RH   58.30RH
2024-10-15   10:47:33   26.87°C     26.87°C     26.84°C   26.90°C    58.08RH    58.19RH    58.04RH   58.30RH
2024-10-15   10:47:39   26.88°C     26.87°C     26.84°C   26.90°C    58.04RH    58.18RH    58.04RH   58.30RH
2024-10-15   10:47:45   26.88°C     26.87°C     26.84°C   26.90°C    58.01RH    58.18RH    58.01RH   58.30RH
2024-10-15   10:47:52   26.90°C     26.87°C     26.84°C   26.90°C    57.92RH    58.17RH    57.92RH   58.30RH
2024-10-15   10:47:58   26.88°C     26.87°C     26.84°C   26.90°C    57.82RH    58.16RH    57.82RH   58.30RH
2024-10-15   10:48:04   26.90°C     26.87°C     26.84°C   26.90°C    57.78RH    58.15RH    57.78RH   58.30RH
2024-10-15   10:48:10   26.88°C     26.87°C     26.84°C   26.90°C    57.73RH    58.14RH    57.73RH   58.30RH
2024-10-15   10:48:16   26.88°C     26.87°C     26.84°C   26.90°C    57.69RH    58.12RH    57.69RH   58.30RH
2024-10-15   10:48:22   26.88°C     26.87°C     26.84°C   26.90°C    57.67RH    58.11RH    57.67RH   58.30RH
2024-10-15   10:48:28   26.87°C     26.87°C     26.84°C   26.90°C    57.67RH    58.10RH    57.67RH   58.30RH
2024-10-15   10:48:34   26.87°C     26.87°C     26.84°C   26.90°C    57.70RH    58.09RH    57.67RH   58.30RH
2024-10-15   10:48:40   26.90°C     26.87°C     26.84°C   26.90°C    57.80RH    58.08RH    57.67RH   58.30RH
2024-10-15   10:48:46   26.90°C     26.88°C     26.84°C   26.90°C    57.79RH    58.07RH    57.67RH   58.30RH
2024-10-15   10:48:52   26.88°C     26.88°C     26.84°C   26.90°C    57.80RH    58.07RH    57.67RH   58.30RH
2024-10-15   10:48:58   26.90°C     26.88°C     26.84°C   26.90°C    57.75RH    58.06RH    57.67RH   58.30RH
2024-10-15   10:49:04   26.90°C     26.88°C     26.84°C   26.90°C    57.80RH    58.05RH    57.67RH   58.30RH
2024-10-15   10:49:10   26.88°C     26.88°C     26.84°C   26.90°C    57.73RH    58.05RH    57.67RH   58.30RH
2024-10-15   10:49:16   26.88°C     26.88°C     26.84°C   26.90°C    57.67RH    58.04RH    57.67RH   58.30RH
2024-10-15   10:49:22   26.90°C     26.88°C     26.84°C   26.90°C    57.77RH    58.03RH    57.67RH   58.30RH
2024-10-15   10:49:28   26.90°C     26.88°C     26.84°C   26.90°C    57.74RH    58.02RH    57.67RH   58.30RH
2024-10-15   10:49:34   26.91°C     26.88°C     26.84°C   26.91°C    57.76RH    58.02RH    57.67RH   58.30RH
2024-10-15   10:49:40   26.90°C     26.88°C     26.84°C   26.91°C    57.73RH    58.01RH    57.67RH   58.30RH
2024-10-15   10:49:46   26.90°C     26.88°C     26.84°C   26.91°C    57.72RH    58.01RH    57.67RH   58.30RH
2024-10-15   10:49:52   26.87°C     26.88°C     26.84°C   26.91°C    57.71RH    58.00RH    57.67RH   58.30RH
2024-10-15   10:49:58   26.88°C     26.88°C     26.84°C   26.91°C    57.66RH    57.99RH    57.66RH   58.30RH
2024-10-15   10:50:04   26.91°C     26.88°C     26.84°C   26.91°C    57.62RH    57.99RH    57.62RH   58.30RH
